Year for CO2,CO2 (ppmv),CO2 Source,Temperature_Year,Temperature_anomaly,N2O Year,N2O (ppb),date,Average (C),Season,Weather_station_source,year,Statistic Label,Median montly series,Moving Average,Meteorological Weather Station
-720089.0,211.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-719368.0,206.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-718387.0,195.2,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-717844.0,187.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-716829.0,184.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-716114.0,192.9,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-715115.0,205.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-714754.0,208.1,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-713800.0,222.1,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-713230.0,217.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-712338.0,221.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-711893.0,222.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-710883.0,218.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-709471.0,218.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-709154.0,218.9,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-708287.0,220.2,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-707730.0,219.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-704459.0,228.1,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-704191.0,228.6,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-703460.0,228.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-703023.0,233.9,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-702261.0,231.2,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-701984.0,231.2,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-701434.0,232.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-701038.0,232.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-700431.0,230.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-700208.0,229.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-699656.0,228.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-699292.0,228.2,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-698794.0,227.6,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-698439.0,228.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-697959.0,226.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-697683.0,227.6,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-697152.0,227.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-696930.0,226.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-696436.0,228.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-696170.0,231.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-695710.0,232.2,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-695381.0,232.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-695013.0,232.9,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-694767.0,235.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-694337.0,234.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-694112.0,234.6,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-693668.0,237.6,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-693433.0,236.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-692991.0,236.9,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-692722.0,235.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-692350.0,234.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-692118.0,235.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-691689.0,234.1,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-691483.0,234.1,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-691040.0,234.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-690815.0,232.9,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
